ID,"User ID",Service,Amount,"Transfer Date & Time",Comment,Type,Source
161nxrcrk.32949191,live:.cid.9df920aaf9dfa0c9,skype,3,"February 22, 2024, 13:27 ","Payment forwarded from miloj7007",Received,Tips
161ngsi0w.32948906,live:.cid.9df920aaf9dfa0c9,skype,4,"February 22, 2024, 13:03 ","Payment forwarded from david.tucker815",Received,Call
161n1sdkw.32948654,live:.cid.d4da948d9afdb2cc,skype,-10.4,"February 22, 2024, 12:48 ","[REPORT] Member fully refunded. Show not provided. Report ID 83447",Sent,
161kgwr7k.32947094,live:amberdangergirl_1,skype,9,"February 22, 2024, 10:48 ","Payment forwarded from nickthebest828",Received,Call
161jo5iow.32946611,live:.cid.40a4d201fc8921df,skype,9.38,"February 22, 2024, 09:56 ","Payment forwarded from live:terranosaurus",Received,Call
161h8znq8.32945147,live:.cid.2abc09177ccc2475,skype,18,"February 22, 2024, 07:57 ","Payment forwarded from frankwolfgang",Received,Call
161h83ibk.32945132,live:.cid.9df920aaf9dfa0c9,skype,20,"February 22, 2024, 07:56 ","Payment forwarded from suryaraj94",Received,Call
161gup97k.32944907,live:.cid.9df920aaf9dfa0c9,skype,1,"February 22, 2024, 07:34 ","Payment forwarded from suryaraj94",Received,Call
161guce8w.32944901,live:.cid.9df920aaf9dfa0c9,skype,17,"February 22, 2024, 07:33 ","Payment forwarded from suryaraj94",Received,Call
161elm0m8.32943545,live:.cid.d4da948d9afdb2cc,skype,19,"February 22, 2024, 05:38 ","Payment forwarded from xstrigax",Received,Call
161dg68ww.32942849,live:.cid.d4da948d9afdb2cc,skype,4,"February 22, 2024, 04:38 ","Payment forwarded from Dominik_Ceski",Received,Call
161boeq0w.32941778,live:.cid.d4da948d9afdb2cc,skype,10.4,"February 22, 2024, 03:16 ","Payment forwarded from nitro12591",Received,
161arq0ww.32941229,live:.cid.1fab5bfda11bd34e,skype,8,"February 22, 2024, 02:28 ","Payment forwarded from dirtball971",Received,Call
1619jfdi8.32940485,live:.cid.d4da948d9afdb2cc,skype,27,"February 22, 2024, 01:24 ","Payment forwarded from juanchi945",Received,Call
160zc0s3k.32934314,live:.cid.4edcabcbab890985,skype,16,"February 21, 2024, 16:44 ","Payment forwarded from joostvaneijk",Received,Call
160uies3k.32931398,live:amberdangergirl_1,skype,3,"February 21, 2024, 13:09 ","Payment forwarded from marcelokol",Received,Call
160c12vkw.32920223,live:.cid.464037ec34cc155a,skype,1,"February 20, 2024, 18:59 ","Payment forwarded from geessir22",Received,Call
160brfnkw.32920061,live:.cid.431479c03bb7974c,skype,11.2,"February 20, 2024, 18:45 ","Payment forwarded from worldofvaapad",Received,Call
1603ixsbk.32915081,live:.cid.2abc09177ccc2475,skype,4,"February 20, 2024, 12:52 ","Payment forwarded from johndoeisme5",Received,Tips
1603gsmjk.32915045,live:.cid.2abc09177ccc2475,skype,3.2,"February 20, 2024, 12:51 ","Payment forwarded from johndoeisme5",Received,Call
15zo2k7i8.32905736,live:.cid.7fe181660004b2e5,skype,24.12,"February 19, 2024, 22:15 ","Payment forwarded from live:keem.pryce",Received,Call
15zkrs8bk.32903741,live:.cid.5272a30dd88ff974,skype,4.02,"February 19, 2024, 18:52 ","Payment forwarded from sea_n_adams",Received,Call
15zgrgra8.32901317,live:.cid.56b20e95cafc509f,skype,7,"February 19, 2024, 16:31 ","Payment forwarded from worldofvaapad",Received,Call
15zfp8q8w.32900675,live:.cid.ce90491f70a898e0,skype,2,"February 19, 2024, 16:18 ","Payment forwarded from Crate",Received,Call
15zdd46gw.32899262,live:.cid.ce90491f70a898e0,skype,6,"February 19, 2024, 15:24 ","Payment forwarded from Crate",Received,Call
15zamp868.32897609,live:.cid.1de30926c04a8b3d,skype,20,"February 19, 2024, 13:26 ","Payment forwarded from live:b661f3381ebf5aa1",Received,Tips
15z9lwmzk.32896991,live:.cid.1de30926c04a8b3d,skype,6.7,"February 19, 2024, 12:49 ","Payment forwarded from live:rossbebbington",Received,Call
15z9gwli8.32896907,live:.cid.1de30926c04a8b3d,skype,2.68,"February 19, 2024, 12:41 ","Payment forwarded from JFreestan",Received,Call
15z7lqwgw.32895779,live:.cid.9807f2cc4a5be486,skype,12,"February 19, 2024, 11:08 ","Payment forwarded from Albenizasturia",Received,Call
15z66uc8w.32894924,live:.cid.40a4d201fc8921df,skype,18.76,"February 19, 2024, 09:55 ","Payment forwarded from frankwolfgang",Received,Call
15z3lfffk.32893355,live:.cid.14e2c6aba3960ad0,skype,4,"February 19, 2024, 07:44 ","Payment forwarded from live:jon197901.2",Received,Call
